datetime,action,side,volume,price,layer,pnl
2023-09-06 07:00:00+00:00,fill,buy,0.01,1923.97,1.0,
2023-09-06 10:00:00+00:00,take_profit,buy,0.01,1927.47,,3.5
2023-09-06 13:00:00+00:00,fill,buy,0.01,1922.3,1.0,
2023-09-06 14:00:00+00:00,take_profit,buy,0.01,1925.8,,3.5
2023-09-06 14:00:00+00:00,fill,buy,0.01,1920.47,2.0,
2023-09-06 15:00:00+00:00,fill,buy,0.01,1919.45,1.0,
2023-09-06 15:00:00+00:00,fill,buy,0.01,1915.95,2.0,
2023-09-06 16:00:00+00:00,take_profit,buy,0.01,1919.45,,3.5
2023-09-07 12:00:00+00:00,take_profit,buy,0.01,1922.95,,3.5
2023-09-07 13:00:00+00:00,fill,buy,0.01,1918.93,1.0,
2023-09-08 00:00:00+00:00,take_profit,buy,0.01,1923.97,,3.5
2023-09-08 00:00:00+00:00,take_profit,buy,0.01,1922.43,,3.5
2023-09-08 16:00:00+00:00,fill,buy,0.01,1918.37,1.0,
2023-09-11 01:00:00+00:00,take_profit,buy,0.01,1921.87,,3.5
2023-09-12 10:00:00+00:00,fill,buy,0.01,1915.43,2.0,
2023-09-12 10:00:00+00:00,fill,buy,0.01,1917.64,1.0,
2023-09-12 11:00:00+00:00,fill,buy,0.01,1911.14,3.0,
2023-09-12 14:00:00+00:00,take_profit,buy,0.01,1914.64,,3.5
2023-09-13 12:00:00+00:00,fill,buy,0.01,1906.96,1.0,
2023-09-13 13:00:00+00:00,take_profit,buy,0.01,1910.46,,3.5
2023-09-14 12:00:00+00:00,fill,buy,0.01,1903.46,2.0,
2023-09-14 13:00:00+00:00,take_profit,buy,0.01,1906.96,,3.5
2023-09-15 06:00:00+00:00,take_profit,buy,0.01,1918.93,,3.5
2023-09-15 13:00:00+00:00,take_profit,buy,0.01,1921.14,,3.5
2023-09-21 13:00:00+00:00,fill,buy,0.01,1913.86,1.0,
2023-09-21 14:00:00+00:00,take_profit,buy,0.01,1917.36,,3.5
2023-09-26 00:00:00+00:00,fill,buy,0.01,1914.69,1.0,
2023-09-26 06:00:00+00:00,fill,buy,0.01,1910.36,2.0,
2023-09-26 08:00:00+00:00,take_profit,buy,0.01,1913.86,,3.5
2023-09-26 12:00:00+00:00,fill,buy,0.01,1910.15,1.0,
2023-09-26 12:00:00+00:00,fill,buy,0.01,1906.65,2.0,
2023-09-26 18:00:00+00:00,fill,buy,0.01,1899.96,3.0,
2023-09-27 01:00:00+00:00,take_profit,buy,0.01,1903.46,,3.5
