datetime,action,side,volume,price,layer,pnl
2023-08-15 03:00:00+00:00,take_profit,buy,0.01,1907.27,,2.0
2023-08-15 08:00:00+00:00,fill,buy,0.01,1903.27,2.0,
2023-08-15 12:00:00+00:00,take_profit,buy,0.01,1905.27,,2.0
2023-08-15 12:00:00+00:00,fill,buy,0.01,1901.7,5.0,
2023-08-15 12:00:00+00:00,fill,buy,0.01,1901.2,3.0,
2023-08-15 12:00:00+00:00,fill,buy,0.01,1899.2,4.0,
2023-08-15 13:00:00+00:00,take_profit,buy,0.01,1903.7,,2.0
2023-08-15 13:00:00+00:00,take_profit,buy,0.01,1903.2,,2.0
2023-08-15 13:00:00+00:00,take_profit,buy,0.01,1901.2,,2.0
2023-08-15 13:00:00+00:00,fill,buy,0.01,1901.75,1.0,
2023-08-15 14:00:00+00:00,take_profit,buy,0.01,1909.51,,2.0
2023-08-15 14:00:00+00:00,take_profit,buy,0.01,1903.75,,2.0
2023-08-15 16:00:00+00:00,fill,buy,0.01,1904.78,1.0,
2023-08-16 09:00:00+00:00,take_profit,buy,0.01,1906.78,,2.0
2023-08-16 11:00:00+00:00,fill,buy,0.01,1903.64,1.0,
2023-08-16 13:00:00+00:00,take_profit,buy,0.01,1905.64,,2.0
2023-08-16 13:00:00+00:00,fill,buy,0.01,1899.75,2.0,
2023-08-16 14:00:00+00:00,take_profit,buy,0.01,1901.75,,2.0
2023-08-16 16:00:00+00:00,fill,buy,0.01,1900.36,1.0,
2023-08-16 17:00:00+00:00,fill,buy,0.01,1897.75,3.0,
2023-08-16 17:00:00+00:00,fill,buy,0.01,1898.36,2.0,
2023-08-16 18:00:00+00:00,fill,buy,0.01,1895.75,4.0,
2023-08-16 19:00:00+00:00,fill,buy,0.01,1893.75,5.0,
2023-08-17 06:00:00+00:00,take_profit,buy,0.01,1895.75,,2.0
2023-08-17 10:00:00+00:00,take_profit,buy,0.01,1897.75,,2.0
2023-08-17 12:00:00+00:00,take_profit,buy,0.01,1902.36,,2.0
2023-08-17 12:00:00+00:00,take_profit,buy,0.01,1899.75,,2.0
2023-08-17 12:00:00+00:00,take_profit,buy,0.01,1900.36,,2.0
2023-08-17 15:00:00+00:00,fill,buy,0.01,1893.3,1.0,
2023-08-17 15:00:00+00:00,fill,buy,0.01,1891.3,2.0,
2023-08-17 15:00:00+00:00,fill,buy,0.01,1889.3,3.0,
2023-08-17 17:00:00+00:00,fill,buy,0.01,1887.3,4.0,
2023-08-17 17:00:00+00:00,fill,buy,0.01,1885.3,5.0,
2023-08-17 19:00:00+00:00,take_profit,buy,0.01,1889.3,,2.0
2023-08-17 19:00:00+00:00,take_profit,buy,0.01,1887.3,,2.0
2023-08-17 23:00:00+00:00,take_profit,buy,0.01,1891.3,,2.0
2023-08-18 00:00:00+00:00,take_profit,buy,0.01,1893.3,,2.0
2023-08-18 10:00:00+00:00,take_profit,buy,0.01,1895.3,,2.0
2023-08-21 01:00:00+00:00,fill,buy,0.01,1885.7,1.0,
2023-08-21 02:00:00+00:00,take_profit,buy,0.01,1887.7,,2.0
2023-08-21 10:00:00+00:00,fill,buy,0.01,1887.09,1.0,
2023-08-21 11:00:00+00:00,take_profit,buy,0.01,1889.09,,2.0
2023-08-21 13:00:00+00:00,fill,buy,0.01,1888.78,1.0,
2023-08-21 14:00:00+00:00,take_profit,buy,0.01,1890.78,,2.0
2023-08-21 15:00:00+00:00,fill,buy,0.01,1886.36,1.0,
2023-08-21 16:00:00+00:00,take_profit,buy,0.01,1888.36,,2.0
2023-08-30 12:00:00+00:00,fill,sell,0.01,1945.66,1.0,
2023-08-30 13:00:00+00:00,take_profit,sell,0.01,1943.66,,2.0
2023-08-30 13:00:00+00:00,fill,sell,0.01,1948.47,4.0,
2023-08-30 13:00:00+00:00,fill,sell,0.01,1947.13,3.0,
2023-08-30 13:00:00+00:00,fill,sell,0.01,1947.66,2.0,
2023-08-30 14:00:00+00:00,take_profit,sell,0.01,1946.47,,2.0
2023-08-30 14:00:00+00:00,take_profit,sell,0.01,1945.13,,2.0
2023-08-30 14:00:00+00:00,take_profit,sell,0.01,1945.66,,2.0
2023-08-30 14:00:00+00:00,fill,sell,0.01,1948.18,1.0,
2023-08-30 15:00:00+00:00,take_profit,sell,0.01,1946.18,,2.0
2023-08-31 02:00:00+00:00,fill,sell,0.01,1947.62,1.0,
2023-08-31 03:00:00+00:00,take_profit,sell,0.01,1945.62,,2.0
2023-08-31 12:00:00+00:00,fill,sell,0.01,1947.49,1.0,
2023-08-31 13:00:00+00:00,take_profit,sell,0.01,1945.49,,2.0
2023-09-01 12:00:00+00:00,fill,sell,0.01,1950.47,5.0,
2023-09-01 12:00:00+00:00,fill,sell,0.01,1950.18,2.0,
2023-09-01 12:00:00+00:00,fill,sell,0.01,1952.18,3.0,
2023-09-01 12:00:00+00:00,fill,sell,0.01,1946.67,1.0,
2023-09-01 13:00:00+00:00,take_profit,sell,0.01,1948.47,,2.0
2023-09-01 13:00:00+00:00,take_profit,sell,0.01,1948.18,,2.0
2023-09-01 13:00:00+00:00,take_profit,sell,0.01,1950.18,,2.0
2023-09-01 13:00:00+00:00,take_profit,sell,0.01,1944.67,,2.0
2023-09-27 13:00:00+00:00,fill,buy,0.01,1888.82,1.0,
2023-09-27 14:00:00+00:00,fill,buy,0.01,1883.7,2.0,
2023-09-27 15:00:00+00:00,fill,buy,0.01,1881.7,3.0,
2023-09-27 15:00:00+00:00,fill,buy,0.01,1879.7,4.0,
2023-09-27 16:00:00+00:00,fill,buy,0.01,1877.7,5.0,
2023-09-29 13:00:00+00:00,take_profit,buy,0.01,1879.7,,2.0
2023-09-29 14:00:00+00:00,fill,buy,0.01,1870.1,1.0,
2023-09-29 14:00:00+00:00,fill,buy,0.01,1868.1,2.0,
2023-09-29 14:00:00+00:00,fill,buy,0.01,1866.1,3.0,
2023-09-29 14:00:00+00:00,fill,buy,0.01,1864.1,4.0,
2023-09-29 14:00:00+00:00,fill,buy,0.01,1862.1,5.0,
2023-10-10 00:00:00+00:00,take_profit,buy,0.01,1864.1,,2.0
2023-10-11 07:00:00+00:00,take_profit,buy,0.01,1868.1,,2.0
2023-10-11 07:00:00+00:00,take_profit,buy,0.01,1866.1,,2.0
2023-10-11 09:00:00+00:00,take_profit,buy,0.01,1870.1,,2.0
2023-10-11 10:00:00+00:00,take_profit,buy,0.01,1872.1,,2.0
2023-10-11 12:00:00+00:00,fill,buy,0.01,1870.12,1.0,
2023-10-11 12:00:00+00:00,fill,buy,0.01,1868.12,2.0,
2023-10-11 13:00:00+00:00,take_profit,buy,0.01,1872.12,,2.0
2023-10-11 13:00:00+00:00,take_profit,buy,0.01,1870.12,,2.0
2023-10-12 06:00:00+00:00,take_profit,buy,0.01,1881.7,,2.0
