datetime,action,side,volume,price,layer,pnl
2023-08-10 14:00:00+00:00,fill,buy,0.01,1913.45,3.0,
2023-08-10 15:00:00+00:00,take_profit,buy,0.01,1916.95,,3.5
2023-08-10 16:00:00+00:00,take_profit,buy,0.01,1920.45,,3.5
2023-08-14 14:00:00+00:00,fill,sell,0.01,1910.7,1.0,
2023-08-14 19:00:00+00:00,take_profit,sell,0.01,1907.2,,3.5
2023-08-15 14:00:00+00:00,fill,sell,0.01,1911.22,1.0,
2023-08-15 15:00:00+00:00,take_profit,sell,0.01,1907.72,,3.5
2023-08-23 13:00:00+00:00,fill,sell,0.01,1914.2,2.0,
2023-08-23 13:00:00+00:00,fill,sell,0.01,1917.7,3.0,
2023-08-23 13:00:00+00:00,fill,sell,0.01,1911.93,1.0,
2023-08-24 12:00:00+00:00,take_profit,sell,0.01,1914.2,,3.5
2023-08-24 14:00:00+00:00,fill,sell,0.01,1919.32,1.0,
2023-08-24 14:00:00+00:00,fill,sell,0.01,1922.82,2.0,
2023-08-24 16:00:00+00:00,take_profit,sell,0.01,1919.32,,3.5
2023-08-24 23:00:00+00:00,take_profit,sell,0.01,1915.82,,3.5
2023-08-25 14:00:00+00:00,take_profit,sell,0.01,1910.7,,3.5
2023-08-25 14:00:00+00:00,take_profit,sell,0.01,1908.43,,3.5
2023-08-25 18:00:00+00:00,fill,sell,0.01,1913.39,1.0,
2023-08-28 01:00:00+00:00,fill,sell,0.01,1916.89,2.0,
2023-08-28 08:00:00+00:00,take_profit,sell,0.01,1913.39,,3.5
2023-08-28 13:00:00+00:00,fill,sell,0.01,1917.95,1.0,
2023-08-28 15:00:00+00:00,take_profit,buy,0.01,1923.95,,3.5
2023-08-28 15:00:00+00:00,fill,sell,0.01,1921.45,2.0,
2023-08-28 17:00:00+00:00,take_profit,sell,0.01,1917.95,,3.5
2023-08-28 17:00:00+00:00,fill,buy,0.01,1918.14,1.0,
2023-08-29 00:00:00+00:00,take_profit,buy,0.01,1921.64,,3.5
2023-08-29 12:00:00+00:00,take_profit,sell,0.01,1914.45,,3.5
2023-08-29 12:00:00+00:00,fill,buy,0.01,1914.64,2.0,
2023-08-29 13:00:00+00:00,take_profit,buy,0.01,1918.14,,3.5
2023-08-29 13:00:00+00:00,fill,sell,0.01,1920.48,1.0,
2023-08-29 14:00:00+00:00,fill,sell,0.01,1926.32,3.0,
2023-08-29 14:00:00+00:00,fill,sell,0.01,1923.98,2.0,
